
1000	3.126e-06
2000	5.978e-06
3000	8.756e-06
4000	1.1012e-05
5000	1.375e-05
6000	2.2803e-05
7000	3.2317e-05
8000	3.6685e-05
9000	3.4254e-05
10000	3.6823e-05
11000	3.9328e-05
12000	4.1648e-05
13000	4.4595e-05
14000	7.2424e-05
15000	6.3658e-05
16000	7.8934e-05
17000	7.7301e-05
18000	8.4855e-05
19000	8.7118e-05
20000	7.3307e-05
21000	9.6593e-05
22000	8.6837e-05
23000	0.00011409
24000	0.000110135
25000	0.000123133
26000	9.9737e-05
27000	0.000102323
28000	0.000118552
29000	0.000141314
30000	0.000152114
