
1000	0.000299514
2000	0.000635297
3000	0.00121193
4000	0.00140474
5000	0.00173683
6000	0.00206811
7000	0.00237509
8000	0.00337264
9000	0.00442333
10000	0.00401548
11000	0.00524227
12000	0.00502815
13000	0.00577124
14000	0.0082218
15000	0.00656923
16000	0.00915717
17000	0.0100221
18000	0.0100829
19000	0.00774256
20000	0.00945171
21000	0.00863865
22000	0.00894319
23000	0.0093948
24000	0.0102161
25000	0.0102634
26000	0.0103137
27000	0.0115136
28000	0.0117556
29000	0.0129428
30000	0.0123422
31000	0.0136248
32000	0.0132603
33000	0.0140675
34000	0.0141827
35000	0.0148447
36000	0.0153753
37000	0.0154174
38000	0.0161826
39000	0.0166864
40000	0.0168827
41000	0.0171475
42000	0.0178114
43000	0.0185734
44000	0.0195291
45000	0.0202201
46000	0.0198561
47000	0.0199562
48000	0.0205828
49000	0.0207536
50000	0.0242939
