
1000  0.00012729
2000  0.000245837
3000  0.000381419
4000  0.00051691
5000  0.000681268
6000  0.000793639
7000  0.000932129
8000  0.00107566
9000  0.00124717
10000  0.00137646
11000  0.001584
12000  0.001945
13000  0.001859
14000  0.002107
15000  0.002258
16000  0.00231
17000  0.00332
18000  0.003403
19000  0.00378
20000  0.004421
21000  0.004415
22000  0.003231
23000  0.0034
24000  0.004008
25000  0.003674
26000  0.003988
27000  0.004097
28000  0.005292
29000  0.004608
30000  0.004738
31000  0.00466
32000  0.004796
33000  0.006014
34000  0.005237
35000  0.007113
36000  0.008979
37000  0.007948
38000  0.005881
39000  0.006387
40000  0.009368
41000  0.007596
42000  0.00638
43000  0.006646
44000  0.010614
45000  0.008769
46000  0.008022
47000  0.007445
48000  0.007781
49000  0.00746
50000  0.009854
